Id,from,to,fromout,fromin,toout,toin,width,exist,distance
2689,2516216,1358964,19,20,139,19,0,1,0
2690,4732400,4849412,730,106,0,37,11,1,0
2691,3521579,902779,1068,119,0,46,8,1,0
2692,4254973,3513443,388,57,0,44,6,1,0
2693,2357041,3038480,6639,253,0,230,70,1,0
2694,3947391,523139,157,19,85,129,7,1,0
2695,1183627,1320772,241,24,0,8,3,1,0
2696,310538,3478212,65,27,0,13,1,1,0
2697,2716253,3052750,234,9,0,35,4,1,0
2698,2586985,4828906,77,358,95,105,1,1,0
2699,4719900,515634,51,3,0,2,0,1,0
2700,685865,2251723,253,56,0,28,9,1,0
2701,2836972,1764186,394,26,0,6,0,1,0
2702,693854,2278015,172,50,0,1,0,1,0
2703,492323,1887803,32,15,98625,2466,8,1,0
2704,570021,1724222,47,19,695,249,15,1,0
2705,4131837,648896,473,99,0,106,8,1,0
2706,2004032,496827,82,755,129,555,20,1,0
2707,3183694,1271514,1999,193,1170,350,111,1,0
2708,4475329,3925464,104,9,0,73,0,1,0
2709,3015544,4417599,4545,512,0,3,0,1,0
2710,2954300,465840,61,7,0,893,4,1,0
2711,1906355,545843,65,24,14,96,1,1,0
2712,4503826,3485630,508,235,0,17,1,1,0
2713,4063378,523964,163,34,0,23,9,1,0
2714,991179,4562732,775,121,0,45,10,1,0
2715,1297737,351210,198,9,0,2,0,1,0
2716,2199839,4570935,54,4,0,4,2,1,0
2717,3523927,1592166,147,52,0,457,8,1,0
2718,812128,69032,139,66,197,170,16,1,0
2719,1874148,896610,472,50,0,65,2,1,0
2720,4472550,2390196,82,37,149,135,6,1,0
2721,3505546,299147,246,21,0,78,4,1,0
2722,2644968,4481371,57,133,0,42,7,1,0
2723,4400602,878743,193,47,25,319,10,1,0
2724,2379407,3565938,31,2,0,1,0,1,0
2725,4291996,3847628,100,48,389,757,19,1,0
2726,382696,1750606,56,10,0,162,5,1,0
2727,680654,1772893,183,22,136,74,8,1,0
2728,3912032,3944376,964,549,0,114,21,1,0
2729,263118,3014916,118,20,605,68,8,1,0
2730,2951449,2003952,1941,169,0,5,0,1,0
2731,69681,685334,160,22,0,22,4,1,0
2732,2367414,3019643,261,36,0,11,0,1,0
2733,3956235,4801160,70,7,0,2,0,1,0
2734,2158045,864374,185,91,155,143,15,1,0
2735,4837704,684124,5217,213,0,238,54,1,0
2736,2887828,1643693,4787,133,0,11,3,1,0
2737,992371,653811,171,15,0,1,0,1,0
2738,1521733,3097555,22,5,23,72,0,1,0
2739,4346451,3432843,173,59,0,14,6,1,0
2740,2806543,2198664,91,29,0,2,0,1,0
2741,3676971,1230954,196,11,0,22,1,1,0
2742,126638,2665148,107,134,162,1592,37,1,0
2743,2803710,1832989,57,8,0,35,0,1,0
2744,4048117,414111,1826,69,0,24,13,1,0
2745,4180275,4344012,122,10,35111,1870,2,1,0
2746,4741422,2623872,111,204,72,352,25,1,0
2747,2212496,53758,38,132,0,13,0,1,0
2748,3276950,4243891,219,102,0,9,0,1,0
2749,562743,519856,4201,206,0,3,1,1,0
2750,196939,1436333,1343,146,0,79,5,1,0
2751,2858319,1956209,222,77,412,144,51,1,0
2752,700359,987065,4000,273,0,95,31,1,0
2753,1581967,4060435,1761,277,0,28,4,1,0
2754,2138268,4845789,1358,166,989,342,84,1,0
2755,761407,2889775,2804,81,0,4,1,1,0
2756,1284996,1768219,1,1,102,210,0,1,0
2757,4413242,311626,393,145,340,87,17,1,0
2758,3423914,1622727,153,4,0,100,3,1,0
2759,2139873,1650995,121,150,191,41,5,1,0
2760,1336475,1846728,397,64,0,3,0,1,0
2761,116337,2038844,279,46,0,15,3,1,0
2762,1847011,338309,14,9,0,22,3,1,0
2763,1980888,3995926,447,18,60,13,1,1,0
2764,14671,3472343,253,139,0,3,1,1,0
2765,3814767,4696935,241,40,0,14,8,1,0
2766,53860,3038393,46,3,0,6,0,1,0
2767,3957485,1270794,27,19,45,32,13,1,0
2768,1037745,2490013,154,46,0,3,0,1,0
2769,3672746,2771116,2235,36,0,1,0,1,0
2770,3371107,503670,132,14,0,7,1,1,0
2771,4165147,4826478,94,92,216,416,13,1,0
2772,4626592,1518827,14,4,0,46,3,1,0
2773,4441066,4621110,344,3,0,48,4,1,0
2774,2280801,1082221,2,1,292,61,0,1,0
2775,4404485,4242055,54,26,0,2,0,1,0
2776,2014251,4395552,38,3,0,3,0,1,0
2777,2714904,2373752,19,5,0,8,2,1,0
2778,2579284,164752,137,10,0,13,1,1,0
2779,1594205,3187657,211,3,0,3,0,1,0
2780,646955,134107,149,46,3,3035,10,1,0
2781,3237422,2456663,267,90,0,28,0,1,0
2782,4852310,3604072,78,157,25550,1681,9,1,0
2783,391858,3779716,182,5,0,1,0,1,0
2784,2649828,964883,526,86,0,25,1,1,0
2785,3838647,3143493,8319,102,0,1,0,1,0
2786,957070,261938,436,104,0,4,0,1,0
2787,537916,3565230,10,5,0,6,0,1,0
2788,1423839,1000879,6,6,2455,613,2,1,0
2789,4794362,2219994,155,18,0,5,4,1,0
2790,237293,3814933,431,51,0,50,1,1,0
2791,935723,2813212,254,84,939,111,21,1,0
2792,1798860,4243087,25,25,169,176,6,1,0
2793,4295631,4811564,293,60,0,144,7,1,0
2794,3867060,3513853,192,60,0,1,0,1,0
2795,3286015,3769009,442,28,0,6,1,1,0
2796,3077156,3773216,229,23,1128,554,22,1,0
2797,4059849,1450901,228,27,0,21,8,1,0
2798,35032,2424277,55,17,0,6,1,1,0
2799,3715637,3086181,450,170,1935,835,125,1,0
2800,3275799,2598506,15,3,68,566,1,1,0
2801,2356668,4004696,132,222,0,26,3,1,0
2802,1985457,1990960,410,40,0,63,1,1,0
2803,1770141,564754,2000,34,0,8,0,1,0
2804,3727842,2500858,3594,271,0,82,25,1,0
2805,3860342,2518116,937,248,0,398,24,1,0
2806,4739039,992606,73,7,0,903,3,1,0
2807,2868951,2135155,359,104,0,491,24,1,0
2808,3427019,4179210,44,3,20,663,1,1,0
2809,4360701,1979462,883,238,0,83,20,1,0
2810,4738713,1787293,450,66,799,229,30,1,0
2811,4405787,4024283,95,33,0,3,1,1,0
2812,2495083,4376339,133,13,0,1,0,1,0
2813,3646428,3241063,8072,411,0,13,3,1,0
2814,2339796,1904171,158,59,0,9,1,1,0
2815,247535,2923913,22,1,359,282,4,1,0
2816,1642387,1675728,180,17,0,3,2,1,0
2817,1131696,1621475,1877,121,0,22,3,1,0
2818,4297091,1384822,305,7,0,107,4,1,0
2819,4653990,56462,728,167,0,23,7,1,0
2820,442714,1024896,257,45,0,8,4,1,0
2821,1735562,2424087,273,12,0,130,13,1,0
2822,3216516,4632812,55,7,0,11,0,1,0
2823,2433044,2504654,25985,565,0,222,128,1,0
2824,4815989,1934760,1197,32,0,15,3,1,0
2825,523139,862606,85,129,0,18,2,1,0
2826,2012545,4351423,43,2,0,14,0,1,0
2827,1873750,3787871,16,9,0,2,1,1,0
2828,1983411,4794425,1453,65,0,16,2,1,0
2829,2238513,3984862,11,5,0,5,2,1,0
2830,1579800,3507323,1,3,1,2,0,1,0
2831,1548875,2927295,1,11,0,26,0,1,0
2832,4821896,2214871,106,1,68,140,6,1,0
2833,3589526,3703334,83,40,219,152,26,1,0
2834,3679880,2003337,29,4,0,2,1,1,0
2835,2593636,2412276,401,10,0,305,4,1,0
2836,1990940,3829615,78,6,0,1,0,1,0
2837,4258113,2265013,226,73,0,1,0,1,0
2838,3872106,2171814,194,82,189,54,14,1,0
2839,2072369,3661676,112,37,1201,140,15,1,0
2840,2201380,4104887,27,6,204,234,3,1,0
2841,4211405,506712,233,55,0,1,0,1,0
2842,1224508,796416,588,3,0,2,0,1,0
2843,2558354,1065527,26,80,0,1,0,1,0
2844,2706521,2063717,68,115,100,2098,3,1,0
2845,308077,2459463,18,33,0,3,1,1,0
2846,4762145,4668155,7,149,53,556,0,1,0
2847,1034710,2088254,175,31,0,12,1,1,0
2848,4583096,603834,748,65,0,50,15,1,0
2849,4587811,2406056,1317,51,0,13,1,1,0
2850,4249435,3983109,32,10,0,77,0,1,0
2851,480577,329133,202,48,76,54,4,1,0
2852,627043,96386,223,32,0,249,8,1,0
2853,1635830,3036748,4802,271,0,2,0,1,0
2854,226793,4340835,8,3,125,31,0,1,0
2855,1030775,3697642,17216,252,6182,207,41,1,0
2856,4655380,4612439,484,66,0,5,0,1,0
2857,3137728,920232,192,16,0,15,5,1,0
2858,4813984,1443119,197,15,0,190,0,1,0
2859,2039939,2152876,1850,106,0,490,45,1,0
2860,2588085,1817495,817,369,0,90,8,1,0
2861,2280801,1082221,2,1,292,61,0,1,0
2862,2075584,3774997,6655,357,0,25,11,1,0
2863,822882,3847369,1586,154,0,150,42,1,0
2864,2903361,4736543,102,10,0,1,0,1,0
2865,3844745,306082,512,477,105,247,30,1,0
2866,2196073,713063,76,24,0,1,0,1,0
2867,4696752,3981423,63,17,0,2,0,1,0
2868,161219,4449681,149,16,0,32,1,1,0
2869,1454838,3146466,16,5,57,15,2,1,0
2870,4004453,280903,26,3,0,1,0,1,0
2871,4101269,2786103,163,37,0,65,0,1,0
2872,1452858,1237389,1,1,0,2,0,1,0
2873,2371521,2987100,29,6,0,11,1,1,0
2874,1986586,4106417,1527,122,0,69,4,1,0
2875,3967547,4437057,172,36,0,2,1,1,0
2876,554073,544617,464,39,0,2,1,1,0
2877,4596013,645848,51,18,0,4,0,1,0
2878,1555160,1697283,235,29,0,174,3,1,0
2879,3207375,1251610,41,22,0,19,0,1,0
2880,3927688,393832,926,46,1133,95,4,1,0
2881,2212155,3016515,91,33,53,202,15,1,0
2882,2624740,3497274,47,4,15,1204,1,1,0
2883,2124563,4719096,5377,67,0,2,1,1,0
2884,46784,1173039,3685,252,0,51,20,1,0
2885,524709,1113816,481,244,85916,4637,53,1,0
2886,3023135,1904636,87,30,0,108,3,1,0
2887,3849989,592866,67,7,0,17,5,1,0
2888,46828,4839696,65,8,164,33,4,1,0
2889,3528211,4220810,71,5,0,10,0,1,0
2890,1285540,768667,967,68,0,145,41,1,0
2891,165064,3490061,620,95,0,1,0,1,0
2892,355750,1821745,4,2,0,1,0,1,0
2893,4745887,4276402,4,3,0,15,0,1,0
2894,1155154,1167868,108,19,0,1,0,1,0
2895,1912253,3949133,27,99,598,30,0,1,0
2896,948273,1451818,11,1,0,3,0,1,0
2897,3888310,2514675,588,33,0,1,0,1,0
2898,4523037,2166437,639,14,0,526,4,1,0
2899,2904218,1270613,87,49,21,26,7,1,0
2900,933326,332017,2559,201,0,51,17,1,0
2901,1215018,717494,386,46,0,61,1,1,0
2902,547044,3205199,26,6,0,4,0,1,0
2903,2943271,1678927,4404,82,0,8,1,1,0
2904,2280801,1082221,2,1,292,61,0,1,0
2905,2565943,1331167,115,28,327,148,9,1,0
2906,2052880,2146040,47,8,0,1,0,1,0
2907,802513,3674612,1119,132,0,88,18,1,0
2908,4460189,4038211,16,3,0,7,0,1,0
2909,2637041,4794399,380,88,0,4,0,1,0
2910,3460276,2353314,23,4,0,59,0,1,0
2911,322584,3207634,16,1,0,13,0,1,0
2912,2692698,4759444,376,18,161,101,9,1,0
2913,2200909,4003797,33,9,0,2,0,1,0
2914,1624790,580864,146,5,0,106,0,1,0
2915,99831,3217845,2,171,0,161,1,1,0
2916,4571819,2678010,554,2951,0,629,5,1,0
2917,3991259,2737102,572,59,0,24,4,1,0
2918,4855913,3028171,1478,246,0,41,22,1,0
2919,1866710,486700,276,18,0,1,0,1,0
2920,2200713,3894003,67,25,2527,458,3,1,0
2921,835461,1460526,179,175,184,156,15,1,0
2922,2772020,3355109,988,113,0,32,12,1,0
2923,2378673,3443580,24,2,0,10,1,1,0
2924,4202769,1078940,23,8,21104,1820,11,1,0
2925,1692099,4536671,56,10,0,2,0,1,0
2926,51598,2833533,587,42,0,11,1,1,0
2927,1642387,446384,180,17,0,2,0,1,0
2928,3918597,3194195,61,58,677,167,5,1,0
2929,4542616,1874390,1107,95,0,98,6,1,0
2930,4631574,3419902,80,20,41,67,4,1,0
2931,236113,2321443,47,3,0,2,1,1,0
2932,368195,2404189,454,66,0,115,5,1,0
2933,3471140,2644657,14,374,0,3,1,1,0
2934,4393023,698413,5046,319,0,31,5,1,0
2935,4075204,206362,61,9,171,1541,4,1,0
2936,555245,3976499,1462,273,0,25,15,1,0
2937,2208491,2297531,897,169,0,31,5,1,0
2938,4460189,4520669,16,3,895,232,1,1,0
2939,4156571,2165231,38,9,0,2,0,1,0
2940,4748644,3052523,298,49,372,886,56,1,0
2941,2583918,1112232,1078,132,240,123,27,1,0
2942,307092,2301441,139,66,0,406,3,1,0
2943,1279355,1378349,4829,83,0,20,0,1,0
2944,923317,3977016,942,92,0,2,0,1,0
2945,774091,3447574,203,3,0,1,0,1,0
2946,1595541,1126142,78,96,213,166,16,1,0
2947,1881299,989635,240,93,586,90,19,1,0
2948,1064318,3060039,42,4,0,5,1,1,0
2949,1079853,4082922,157,53,0,134,7,1,0
2950,2321002,302254,162,15,0,2,0,1,0
2951,4568223,4488319,22,2,0,2,1,1,0
2952,2765775,3239389,219,68,3486,418,29,1,0
2953,1415891,2073805,538,119,0,2,0,1,0
2954,4267217,3863566,125,13,0,1,0,1,0
2955,1470364,1162923,327,17,0,1,0,1,0
2956,4165867,3005991,1677,72,511,442,31,1,0
2957,1265463,4293660,290,508,0,3,3,1,0
2958,1712498,4086645,12,10,0,2,0,1,0
2959,1955287,2780041,1999,24,0,1,0,1,0
2960,812972,2317624,63,15,78,300,2,1,0
2961,4690531,580421,66,14,0,1,0,1,0
2962,1195867,3626734,531,87,0,147,6,1,0
2963,4464310,620035,1328,223,0,24,2,1,0
2964,3687095,3713470,583,28,0,5,1,1,0
2965,1158472,1655879,125,49,13,17,6,1,0
2966,3076016,4491329,349,18,0,19,1,1,0
2967,974255,3926379,23,7,0,6,0,1,0
2968,637875,552552,72,8,0,8,0,1,0
2969,593943,3821497,18,5,0,7,0,1,0
2970,1612442,1941790,33398,907,0,64,35,1,0
2971,341128,263743,154,33,0,55,0,1,0
2972,73459,1243522,468,49,0,11,3,1,0
2973,1492093,3090005,21,5,0,931,1,1,0
2974,4776902,4685239,156,68,0,12,6,1,0
2975,3663316,4045901,88,12,0,29,0,1,0
2976,1636191,1591814,13,5,363,379,4,1,0
2977,1733934,4429583,29,12,3,4,3,1,0
2978,2962956,445345,18,4,0,23,0,1,0
2979,1577197,116801,23,2,0,64,1,1,0
2980,1329489,1429683,726,50,0,105,2,1,0
2981,4305282,2736874,759,83,0,6,1,1,0
2982,839746,3587040,139,26,779,135,6,1,0
2983,158968,1921608,20,6,89,213,2,1,0
2984,3585379,2598640,170,38,24183,919,23,1,0
2985,1477745,2895023,201,16,134,530,0,1,0
2986,2208528,245420,78,2,0,83,1,1,0
2987,4420789,2340596,59,43,5225,1008,14,1,0
2988,537486,1293669,263,70,0,14,3,1,0
2989,719844,1254976,31,7,0,10,1,1,0
2990,1038342,1515712,178,42,0,1097,12,1,0
2991,2492993,4128507,292,29,0,332,6,1,0
2992,4449222,504245,116,5,0,23,0,1,0
2993,3597466,4665632,4550,304,0,393,73,1,0
2994,2919120,1700332,217,58,73650,717,12,1,0
2995,2991968,4761883,30,10,0,5,0,1,0
2996,4637737,3859827,198,298,0,362,3,1,0
2997,2466035,1130641,17,4,0,1,0,1,0
2998,2208418,2537654,161,168,0,130,15,1,0
2999,212880,1870924,440,53,0,2,1,1,0
3000,3598078,791139,165,25,0,8,1,1,0
3001,244671,2271820,92,69,0,16,2,1,0
3002,4232466,2228371,19,3,422106,1101,1,1,0
3003,4419101,903552,24442,163,0,110,23,1,0
3004,4156583,2867068,455,56,0,206,14,1,0
3005,1920710,4309863,320,22,0,38,1,1,0
3006,4230711,1517239,360,93,77,265,17,1,0
3007,1813940,4690806,5860,51,0,65,4,1,0
3008,4260421,1068376,122,11,0,223,0,1,0
3009,456731,3584058,62,29,1572,315,3,1,0
3010,3330409,977855,79,16,5587,1172,15,1,0
3011,2842239,3993463,32,38,102,56,19,1,0
3012,590525,818652,102,44,0,2,0,1,0
3013,3652193,3818993,79,49,6089,818,26,1,0
3014,1533668,2794814,793,36,0,50,5,1,0
3015,958677,2543357,1,31,0,2,0,1,0
3016,3962019,1856676,17,5,197,236,11,1,0
3017,4062603,1783400,129,18,0,3,1,1,0
3018,3340284,3013212,168,68,0,173,30,1,0
3019,2545924,1393805,9,14,561,190,6,1,0
3020,1316487,2482947,96,16,0,8,1,1,0
3021,2975025,2558088,273,18,0,1,0,1,0
3022,1838972,230476,7,4,52,45,0,1,0
3023,1566156,3299345,837,155,626,430,61,1,0
3024,3218196,3632559,642,208,0,50,6,1,0
3025,2011546,4299373,427,84,0,254,10,1,0
3026,2661481,3239019,205,33,0,2,0,1,0
3027,3533168,764677,18,3654,0,244,3,1,0
3028,444056,314520,73,102,764195,4841,5,1,0
3029,1245143,437545,4681,171,0,200,48,1,0
3030,147072,3579216,12,8,21,34,6,1,0
3031,4305645,2946667,356,37,566,36,1,1,0
3032,3846737,2630855,143,29,0,2,0,1,0
3033,893291,1460162,51,15,0,46,4,1,0
3034,2050450,2579564,954,237,0,188,41,1,0
3035,480873,2709233,813,181,4343,47,3,1,0
3036,4272948,4806381,85,14,320,64,7,1,0
3037,3099205,912654,273,373,0,82,18,1,0
3038,4583092,409762,49,3,0,8,0,1,0
3039,307138,4375362,198,22,0,8,2,1,0
3040,148128,396397,826,72,0,6,0,1,0
3041,4371242,314520,54,7,764195,4841,3,1,0
3042,2244078,3523015,310,62,0,3,0,1,0
3043,729329,4249631,1205,118,0,555,50,1,0
3044,1829307,4288880,89,36,0,16,0,1,0
3045,1563107,453042,53,6,0,9,2,1,0
3046,4448047,3971425,2664,266,0,167,60,1,0
3047,4303899,725935,291,12,0,20,0,1,0
3048,1958363,2845416,79,99,0,2,0,1,0
3049,4469373,595973,91,6,214,1141,3,1,0
3050,1736378,4629285,123,48,0,1,0,1,0
3051,3245656,476508,174,63,0,1,0,1,0
3052,1527892,3532355,438,21,0,3,2,1,0
3053,1722356,448431,456,47,0,11,8,1,0
3054,4452324,1739724,1173,174,0,83,12,1,0
3055,2009494,1253286,475,243,0,39,18,1,0
3056,906236,1600764,31,20,2136,351,0,1,0
3057,2602092,1822289,48,26,0,15,2,1,0
3058,3172390,736552,917,73,0,32,2,1,0
3059,2218582,3753693,49,24,0,5,0,1,0
3060,1769022,4717616,500,85,28,709,7,1,0
3061,581168,4257924,2,2,0,4,0,1,0
3062,3672212,1286976,246,201,0,41,0,1,0
3063,807824,2352726,300,135,0,1,0,1,0
3064,3858944,3946925,42,7,0,1,0,1,0
3065,2174583,2603217,8,6,0,5,0,1,0
3066,2915314,465840,91,17,0,893,7,1,0
3067,544184,1562486,59,55,0,1765,4,1,0
3068,1551920,2682941,374,52,0,29,3,1,0
3069,2445963,3944627,474,40,0,16,3,1,0
3070,4776636,730185,293,206,0,25,6,1,0
3071,4496738,4156800,509,171,11,659,18,1,0
3072,2557329,1087939,59,1637,505,602,18,1,0
3073,2412919,2252085,196,6,0,3,0,1,0
3074,4382022,1559154,121,115,0,6,1,1,0
3075,2957324,445366,441,12,0,48,2,1,0
3076,4593334,1159506,555,12,0,15,1,1,0
3077,2310646,1549889,688,242,0,43,1,1,0
3078,4455080,2329247,6,19,3750,146,2,1,0
3079,2294304,520819,325,151,0,8,2,1,0
3080,1013685,394695,180,34,0,33,4,1,0
3081,1783006,1517239,111,18,77,265,8,1,0
3082,3619667,638748,193,30,0,1,0,1,0
3083,2233508,818087,285,72,0,1,0,1,0
3084,4827190,1198888,94,26,124,694,27,1,0
3085,3810952,4233838,131,36,153,798,9,1,0
3086,1265638,3387108,682,57,0,1,0,1,0
3087,980584,3773290,43,28,0,225,3,1,0
3088,3344508,3494814,95,8,28,20,4,1,0
3089,4592789,94485,40,42,229,82,4,1,0
3090,3809653,1970868,535,45,0,92,10,1,0
3091,1788340,3641351,614,59,0,9,2,1,0
3092,2790442,755266,11,71,0,1,0,1,0
3093,2668884,235372,22,3,0,2,1,1,0
3094,4809140,1672222,7,6,78,54,2,1,0
3095,2141618,334212,34095,1507,0,7,0,1,0
3096,4162980,3434649,56,16,26,6,5,1,0
3097,341205,3560983,150,14,15,1841,2,1,0
3098,803541,1276930,338,92,0,3,1,1,0
3099,2959726,3869802,1997,26,0,74,5,1,0
3100,3232984,1300444,78,7,187,2358,6,1,0
3101,2981399,234477,1,12,131,401,0,1,0
3102,4275508,3333409,467,28,0,5,0,1,0
3103,4804385,684425,177,185,0,85,11,1,0
3104,337928,1943884,1,10,1343,62,0,1,0
3105,4138372,2956619,278,38,0,26,5,1,0
3106,3923813,3269729,177,41,0,1,0,1,0
3107,3620449,4740515,870,159,0,2,1,1,0
3108,1530285,1014188,98,111,0,46,1,1,0
3109,26787,2572703,48,28,0,4,0,1,0
3110,2152734,690454,716,14,0,282,1,1,0
3111,2439128,1987898,216,134,0,72,29,1,0
3112,2796612,4067082,75,20,0,5,0,1,0
3113,617151,3090021,24,10,0,2,1,1,0
3114,2156226,3423524,38,22,29,32,15,1,0
3115,3144131,3063461,1529,24,12914,568,13,1,0
3116,1653392,1903885,1,1,302,42,0,1,0
3117,2775173,2008153,366,60,0,36,0,1,0
3118,4056394,162822,1,3,468,278,0,1,0
3119,3652455,4625921,28,19,0,60,1,1,0
3120,1359821,1009954,229,26,0,4,1,1,0
3121,4854861,2720724,2053,148,0,10,4,1,0
3122,1110026,413124,69,5,85,41,4,1,0
3123,3648605,3055346,724,36,0,156,3,1,0
3124,2642688,791339,122,23,0,2,1,1,0
3125,3245312,740453,208,41,0,26,2,1,0
3126,2577145,3230600,2879,342,887,173,70,1,0
3127,4124000,378120,21,14,126,43,13,1,0
3128,3148733,3247763,79,10,0,3,1,1,0
3129,3508562,3513779,359,156,0,47,3,1,0
3130,1312961,4240863,2046,318,26839,606,80,1,0
3131,4493463,1357753,1163,121,0,10,4,1,0
3132,4563328,1088953,122,37,0,17,0,1,0
3133,2455255,4460236,99,43,387,82,11,1,0
3134,1813940,4496192,5860,51,0,66,5,1,0
3135,3114996,4209571,2905,118,0,112,26,1,0
3136,204712,2875408,528,55,0,5,0,1,0
3137,2339388,1797813,2235,44,0,7,0,1,0
3138,2595706,3700905,49,32,394,134,16,1,0
3139,1137848,4212704,1455,26,0,22,7,1,0
3140,1793769,2198001,253,9,23,45,1,1,0
3141,769219,3631665,384,116,251,77,21,1,0
3142,1140539,4323199,220,657,49,27,25,1,0
3143,2540027,2083886,1662,164,0,17,4,1,0
3144,4289295,3345202,130,22,0,37,0,1,0
3145,532115,1707729,73,51,0,22,16,1,0
3146,1467797,299763,83,30,22,225,14,1,0
3147,4318120,549560,223,49,0,47,2,1,0
3148,4223973,1283291,249,50,587,135,3,1,0
3149,1096772,4617027,158,17,0,1,0,1,0
3150,51598,2692394,587,42,0,10,1,1,0
3151,3264671,926714,94,3,0,2,0,1,0
3152,9860,2902196,8550,555,0,133,72,1,0
3153,3990800,3757198,206,5,133,912,11,1,0
3154,4243087,4034126,169,176,0,20,4,1,0
3155,4852296,1736212,22,12,65,56,11,1,0
3156,2980673,3578537,42,4,0,3,0,1,0
3157,4542124,4214175,652,78,0,57,6,1,0
3158,4791948,859679,13,1,0,57,1,1,0
3159,2618138,1870407,225,47,0,6,1,1,0
3160,2417272,462443,180,11,0,43,1,1,0
3161,192133,3634386,251,67,0,2,0,1,0
3162,25526,2405990,296,63,57,903,31,1,0
3163,420510,3905625,31,11,383,135,3,1,0
3164,1414577,2048932,73,5,0,2,1,1,0
3165,3246747,1561784,68,25,0,1,0,1,0
3166,3368714,4501658,886,101,0,118,4,1,0
3167,2012811,2237585,228,44,0,1,0,1,0
3168,4633476,3299348,1333,193,0,1,0,1,0
3169,682825,1591084,34,7,0,59,2,1,0
3170,1111855,2550191,194,237,0,10,4,1,0
3171,4117003,877752,5551,497,0,179,86,1,0
3172,2003976,3564082,252,72,2553,394,35,1,0
3173,1483657,893965,227,13,316,798,11,1,0
3174,423371,1126040,504,228,1945,574,24,1,0
3175,3569410,41319,417,15,589,307,2,1,0
3176,813178,1527691,700,71,0,23,4,1,0
3177,3874765,4608729,368,57,49,40,2,1,0
3178,1390450,1131019,194,43,0,1,0,1,0
3179,880671,1858695,25,5,0,1,0,1,0
3180,2824144,2926817,49,9,0,1,0,1,0
3181,58056,1588762,229,468,0,10,0,1,0
3182,2777047,607050,249,23,0,18,1,1,0
3183,3646119,1262616,210,19,0,879,16,1,0
3184,175042,2996356,71,5,0,1,0,1,0
3185,3222120,3091489,49,8,31,34,6,1,0
3186,1507196,1850574,30,33,9,28,0,1,0
3187,3860342,622422,937,248,497,362,51,1,0
3188,3882880,1943228,159,14,0,2,0,1,0
3189,1512362,2691302,163,30,0,23,1,1,0
3190,1257837,1347962,50,259,7,108,1,1,0
3191,3451146,1219572,14,3,0,8,0,1,0
3192,2833129,526867,27,3,54,199,0,1,0
3193,2676571,3338667,86,6,0,158,6,1,0
3194,1284489,932841,29,10,307,169,5,1,0
3195,4627901,366718,18,8,770,232,9,1,0
3196,2245342,3935136,3968,136,0,100,37,1,0
3197,382696,4130688,56,10,0,53,2,1,0
3198,2195403,2101956,97,7,0,2,0,1,0
3199,3315120,2810095,144,67,60088,2152,23,1,0
3200,799655,1446046,53,25,161,41,2,1,0
3201,4369417,1648809,191,40,0,20,3,1,0
3202,2319301,1259620,220,11,0,2,0,1,0
3203,2042525,517176,221,9,0,11,4,1,0
3204,2120328,2100905,231,53,572,294,16,1,0
3205,185180,3550519,3409,275,0,7,6,1,0
3206,2540244,1017915,426,378,0,16,3,1,0
3207,2628762,1145963,51,5,0,10,1,1,0
3208,622884,4151715,632,116,0,339,15,1,0
3209,227469,4268441,160,62,0,34,1,1,0
3210,4348619,4538853,13,471,0,14,5,1,0
3211,4560960,1629959,628,37,0,4,3,1,0
3212,2880570,2156933,378,37,0,9,1,1,0
3213,2290849,2328895,23,3,0,1,0,1,0
3214,2873962,4111378,153,20,0,10,0,1,0
3215,313791,1099773,11,5,653,540,1,1,0
3216,2455252,4744200,48,7,0,8,0,1,0
3217,1318340,3177638,46,46,471,132,12,1,0
3218,62625,897116,126,48,49,430,14,1,0
3219,916355,314520,10,2,764195,4841,1,1,0
3220,2871215,4167030,35,6,0,1,0,1,0
3221,2000381,1590858,29,21,0,10,0,1,0
3222,1351673,3817,221,11,0,1,0,1,0
3223,955393,3355316,231,89,0,145,17,1,0
3224,165498,1028148,125,529,105,781,16,1,0
3225,2200961,573179,687,435,0,1,0,1,0
3226,658148,1564093,14,317,17,197,5,1,0
3227,441319,3108775,422,137,2569,153,27,1,0
3228,842371,2570414,39,6,37,15,1,1,0
3229,2758850,750886,353,47,16616,1743,7,1,0
3230,703997,4703941,111,37,26,37,6,1,0
3231,187826,3603537,35,181,0,14,1,1,0
3232,674743,1795929,489,125,0,15,1,1,0
3233,4843148,3344466,4,7,366,269,1,1,0
3234,2433410,2004032,12,1,82,755,1,1,0
3235,1509980,2024268,51,6,0,14,7,1,0
3236,4502673,2589617,37,5,0,20,0,1,0
3237,759352,2665425,80,8,0,150,2,1,0
3238,3311977,74094,1409,20,0,2,1,1,0
3239,4089643,3499131,67,1,0,93,1,1,0
3240,2864294,3113410,163,20,43,108,4,1,0
3241,1443065,3068407,312,8,0,1,0,1,0
3242,1821922,2491247,68,11,0,4,1,1,0
3243,2400560,3235465,299,17,0,2,0,1,0
3244,4123222,4383375,1880,86,0,53,1,1,0
3245,4277147,425653,88,5,0,1,0,1,0
3246,4773035,2686689,57,26,112,117,8,1,0
3247,2706181,2542750,1155,66,0,20,4,1,0
3248,744548,2625575,174,15,0,1,0,1,0
3249,3468655,675206,2112,146,0,84,10,1,0
3250,2836745,1392817,982,208,0,3,0,1,0
3251,4572068,1615949,22,6,25,115,3,1,0
