Id,from,to,fromout,fromin,toout,toin,width,exist
2879,4178598,1125320,151,35,0,198,0,1
2880,4771417,2362263,69,7,78,46,3,1
2881,2203468,3616226,45,5,0,3,0,1
2882,4053602,1599447,69,36,46,206,5,1
2883,4307995,1104055,261,20,0,87,8,1
2884,713622,4729661,283,71,0,223,29,1
2885,4104736,541288,10413,237,0,169,46,1
2886,1893108,1336454,23,35,2368,179,1,1
2887,2395359,,0,4,0,0,0,0
2888,2690647,3593415,121,21,103,78,9,1
2889,2612392,4834537,427,1354,0,34,7,1
2890,1175289,2581052,572,97,0,3,0,1
2891,4125184,1009464,101,4,0,10,0,1
2892,389336,3382576,651,75,0,35,7,1
2893,2427794,3994801,110,8,14886,654,2,1
2894,333414,2354161,181,14,0,143,5,1
2895,2385566,358759,20451,751,0,92,59,1
2896,3218532,2816019,47,5,0,8,0,1
2897,1958680,1900899,74,12,0,219,3,1
2898,3152922,465840,213,27,0,893,2,1
2899,1936119,2426821,339,112,0,23,8,1
2900,3932735,4154756,618,103,0,3,0,1
2901,3416662,3159763,3,1,0,1,0,1
2902,4473633,2921450,179,15,922,170,10,1
2903,3010529,3195602,867,28,0,8,1,1
2904,4050694,4032800,81,8,0,292,0,1
2905,370916,2034914,597,94,0,11,0,1
2906,4233162,741629,428,29,0,146,12,1
2907,193869,380185,11,6,0,1,0,1
2908,4082896,1721573,1498,441,1981,217,74,1
2909,2212637,2312962,50,21,0,15,5,1
2910,3103498,1404531,225,198,0,1,0,1
2911,173778,6534,58,400,1031,116,6,1
2912,780390,4839175,81,8,0,119,8,1
2913,2035356,2363847,1990,139,0,16,4,1
2914,1801504,772790,48,15,0,4,3,1
2915,3669264,4849635,73,140,0,27,1,1
2916,1384411,,0,25,0,0,0,0
2917,2912917,126046,89,32,0,2,0,1
2918,4477048,1716347,97,17,0,16,0,1
2919,4575577,4043171,1298,98,0,16,8,1
2920,61789,1701853,262,18,0,8,2,1
2921,4282966,2887090,12479,898,0,38,26,1
2922,2604683,796644,10586,632,0,1,0,1
2923,644737,2347875,111,6,0,40,0,1
2924,3371935,3910493,32,18,25,1117,8,1
2925,4484011,2507482,22096,703,0,3,1,1
2926,2107502,3541524,1939,97,0,347,40,1
2927,1575199,,0,4,0,0,0,0
2928,2405728,443954,45,5,852,318,0,1
2929,3308756,467464,26,21,0,2,0,1
2930,3137733,,0,39,0,0,0,0
2931,1130802,999730,1745,48,0,16,0,1
2932,1524558,3336564,156,48,0,41,0,1
2933,4795184,1685171,135,213,0,61,0,1
2934,3180891,214952,17,9,0,31,3,1
2935,2035993,1009787,59,6,0,2,0,1
2936,4036703,366718,55,49,770,232,38,1
2937,3988328,989675,157,56,1334,313,32,1
2938,1604093,826086,46,9,414420,2821,2,1
2939,132327,1598997,436,58,0,60,6,1
2940,4821251,1362586,559,53,0,2,0,1
2941,4266486,884527,793,58,0,6,1,1
2942,3053148,4102506,2420,237,0,316,80,1
2943,2983995,2497226,199,52,42,6,1,1
2944,3537517,138889,60,43,87,1267,3,1
2945,2193518,112760,768,100,0,58,2,1
2946,3807049,1197137,649,65,0,13,1,1
2947,2428739,1403250,129,5,0,1,0,1
2948,2616419,516565,43,18,23,19,17,1
2949,454246,1732115,55,14,0,4,0,1
2950,3554302,1087568,360,99,0,31,2,1
2951,878663,2633987,245,28,765,246,4,1
2952,4864302,1587616,393,288,1290,116,17,1
2953,395288,1192888,138,35,0,231,0,1
2954,4709941,4574748,89,14,1962,72,0,1
2955,1906715,1127863,160,128,98,59,5,1
2956,3544549,2225425,237,113,612,155,3,1
2957,2266294,2802134,121,29,0,35,2,1
2958,1343286,3445134,242,93,0,49,12,1
2959,1820703,2698464,172,87,0,16,3,1
2960,993748,1884622,117,17,0,2,0,1
2961,495906,3886845,2344,613,0,69,7,1
2962,1802096,2059534,103,41,0,20,13,1
2963,2813534,3325511,227,13,0,21,1,1
2964,892505,811233,3400,556,0,126,35,1
2965,1439312,551634,61,7,1845,389,6,1
2966,3066216,811466,650,62,0,9,0,1
2967,390685,1350620,81,15,0,50,10,1
2968,2059703,2228006,5,10,177,51,2,1
2969,4738406,1946320,120,94,344,117,6,1
2970,3672121,3797869,114,103,12468,1121,34,1
2971,3007914,4796756,249,15,0,1,0,1
2972,3668814,3603170,120,22,0,9,1,1
2973,307092,3069648,139,66,0,201,2,1
2974,4196077,507039,38,27,0,12,0,1
2975,4237708,545214,444,67,0,4,0,1
2976,2374063,4468789,3083,21,0,41,1,1
2977,1634078,4825657,3,52,46,86,0,1
2978,2800334,3624653,792,66,0,55,5,1
2979,3729936,215562,59,13,169,276,8,1
2980,3756883,2440489,43,8,0,15,0,1
2981,4817309,3723915,327,22,0,19,1,1
2982,1779546,1912211,92,28,0,87,3,1
2983,2550314,644700,206,93,0,64,10,1
2984,4544707,4569741,6,84,0,25,0,1
2985,626097,3618680,26,291,0,2,1,1
2986,4751248,2661988,6,4,0,1,0,1
2987,2139873,3923445,121,150,6327,106,10,1
2988,2785328,1223259,151,9,0,55,0,1
2989,654648,4669033,118,70,241,89,13,1
2990,3011285,4011780,6554,1087,0,23,3,1
2991,860942,4410215,927,256,0,10,5,1
2992,10020,4256332,163,6,0,24,1,1
2993,933348,1655480,1298,87,0,31,1,1
2994,631359,4754347,133,21,0,20,1,1
2995,2421787,1862137,2845,82,0,61,30,1
2996,1642164,3344107,832,469,0,121,10,1
2997,1560827,4782281,129,13,0,1,0,1
2998,2293262,4845400,71,67,0,4,0,1
2999,1305171,2034925,2173,103,0,107,11,1
3000,1114808,2178250,110,63,0,2,0,1
3001,1445062,1200873,114,34,6183,473,20,1
3002,2278640,1361841,87,3,0,8,0,1
3003,555834,4747496,193,34,585,1177,34,1
3004,4117758,195090,67,4,0,1,0,1
3005,208574,4490982,244,16,0,3,0,1
3006,3595117,1647789,469,88,0,55,15,1
3007,3447231,2973360,375,274,0,1,0,1
3008,3076016,194514,349,18,0,4,3,1
3009,3205168,573215,399,37,0,11,3,1
3010,532217,2857457,350,24,0,11,1,1
3011,4192922,2292761,117,10,0,4,0,1
3012,213416,1614464,780,33,0,17,0,1
3013,4500404,,0,2,0,0,0,0
3014,1735313,1085861,422,87,511816,1530,29,1
3015,2713308,1057435,2,4,1630,34,0,1
3016,2242786,,0,68,0,0,0,0
3017,3141348,4052183,3442,867,965,71,23,1
3018,597506,3292241,70,30,0,21,4,1
3019,571413,371963,241,27,0,73,5,1
3020,1501620,2309092,6659,415,0,5,3,1
3021,3956998,3863575,5,952,0,254,0,1
3022,3818212,4175560,1058,91,0,195,23,1
3023,2677655,4211680,24,23,10576,324,2,1
3024,1279920,3146080,1259,109,0,101,18,1
3025,3759427,2439804,65,38,749,207,13,1
3026,145306,2920146,406,64,0,4,0,1
3027,1071720,524280,794,57,0,179,14,1
3028,3635085,3527899,692,62,0,189,2,1
3029,774518,2164772,28,8,0,61,2,1
3030,2730649,3839336,3,46,151,32,0,1
3031,77285,888937,100,46,0,191,4,1
3032,4067093,4084529,934,193,0,35,12,1
3033,4313702,,0,1,0,0,0,0
3034,1666739,957662,512,66,0,110,12,1
3035,3005488,3821231,5,53,0,22,2,1
3036,1290803,274274,2,2,0,1,0,1
3037,1796223,1186657,234,73,0,10,2,1
3038,1782043,2177469,258,736,103,287,4,1
3039,2567283,4152322,50,17,3240,126,0,1
3040,4287639,1588185,23,31,2668,788,14,1
3041,3690002,3399251,3,3,0,7,0,1
3042,3813301,1496049,1436,289,0,23,2,1
3043,203144,433212,1856,128,0,241,60,1
3044,2267493,3125021,149,14,0,692,1,1
3045,1143697,3195353,135,54,3453,337,13,1
3046,2388267,3606193,1073,128,0,64,7,1
3047,3408971,988565,107,8,0,62,2,1
3048,1163747,2393975,1,3,0,17,0,1
3049,3778068,3641805,113,12,0,4,2,1
3050,4738713,4475598,450,66,0,40,15,1
3051,1341758,3956179,220,68,430,708,30,1
3052,2141985,3627558,94,5,1909,749,0,1
3053,1394628,3126681,181,108,0,9,1,1
3054,2864158,3364505,169,13,276,134,3,1
3055,1451881,3389899,7674,194,0,396,16,1
3056,4836227,3027043,161,130,0,5,0,1
3057,4725451,2110653,1213,84,0,25,3,1
3058,206469,1245969,301,122,0,13,6,1
3059,1815952,3636256,653,15,0,3,0,1
3060,1458573,212569,2863,55,0,89,12,1
3061,857750,1292808,326,27,0,97,1,1
3062,4051801,2682610,2002,155,0,26,17,1
3063,2401156,4532029,1455,301,0,19,9,1
3064,4865070,4741861,163,64,0,67,4,1
3065,3944291,1063829,165,36,0,11,4,1
3066,3042934,20738,120,2,0,1,0,1
3067,1475634,2740416,504,120,0,100,9,1
3068,1680524,3710985,229,25,0,15,2,1
3069,3792374,4439995,34,32,68,117,15,1
3070,4234062,4572036,501,20,0,68,7,1
3071,1439336,2805765,220,70,155,238,2,1
3072,4114686,1697724,74,19,0,12,2,1
3073,1359315,2396387,232,44,0,29,1,1
3074,2738434,237901,362,63,0,43,5,1
3075,2154443,314520,107,24,764195,4841,8,1
3076,4485060,3977980,12610,397,0,177,71,1
3077,1749296,3511811,175,22,0,16,10,1
3078,1589304,1851928,818,65,1010,127,8,1
3079,769217,3533168,34,213,18,3654,9,1
3080,4457900,3652106,17,10,31,10,6,1
3081,4515702,2763430,69,25,0,10,5,1
3082,2271892,1471957,11111,311,161,80,5,1
3083,286426,1996044,290,87,0,11,3,1
3084,1784794,1548285,716,78,0,53,18,1
3085,3089066,4543362,72,16,0,34,9,1
3086,3762269,3847628,58,15,389,757,13,1
3087,652610,624997,127,6,0,1,0,1
3088,4822473,3669688,10,1,0,2,0,1
3089,1246693,2237372,1968,152,0,1350,99,1
3090,2259706,2023702,426,78,0,26,0,1
3091,3068310,496891,1829,48,0,2,0,1
3092,832099,1948456,79,90,0,3,0,1
3093,1191379,3077752,675,111,0,30,6,1
3094,2062408,913034,19669,767,0,121,64,1
3095,3746419,3967514,89,12,0,13,9,1
3096,1052891,2232826,40,8,0,1,0,1
3097,2199627,4060234,167,3,0,1,0,1
3098,559893,1049551,67,10,0,21,0,1
3099,2857032,2642557,271,58,0,23,4,1
3100,1304335,4168476,292,11,0,4,1,1
3101,4574160,2500037,1441,124,0,107,19,1
3102,352996,2661695,38,109,2421,102,0,1
3103,1927552,3292717,212,6,0,10,2,1
3104,3281299,4730074,357,73,0,1,0,1
3105,2322089,1935587,1,2,1896,68,0,1
3106,3181826,2546173,545,40,0,8,3,1
3107,1112352,2390380,2055,104,0,17,6,1
3108,3884605,3082190,2014,64,58046,1117,62,1
3109,1809927,3623425,422,35,0,251,5,1
3110,2598640,3274087,24183,919,0,5,1,1
3111,2120328,1986575,231,53,1019,844,50,1
3112,1484429,4398063,192,38,0,21,0,1
3113,1722879,172375,225,23,0,2,0,1
3114,4778067,2041149,63,130,0,5,0,1
3115,4667866,1437838,155,20,0,58,3,1
3116,2582381,,0,17,0,0,0,0
3117,2550954,1773716,70,23,0,22,2,1
3118,967697,69099,389,149,0,8,2,1
3119,4616721,1665161,3655,89,0,63,47,1
3120,2394757,2321757,64,123,99,224,0,1
3121,2214871,4627814,68,140,0,2,1,1
3122,3130827,1832979,506,32,589,788,17,1
3123,2275665,2305592,9,1,0,1,0,1
3124,189729,4785330,73,75,0,39,5,1
3125,3179646,2602010,2,2,0,2,0,1
3126,1672043,4059604,5873,139,0,7,1,1
3127,2353465,3709314,181,38,0,4,0,1
3128,479434,3765710,4,8,15,9,3,1
3129,4023352,1962206,262,8,0,4,0,1
3130,3220153,2719251,114,114,1348,1838,16,1
3131,4586915,496827,13,2,129,555,2,1
3132,168604,52131,89464,1630,0,13,9,1
3133,882165,1210538,18491,783,0,33,24,1
3134,4478910,248016,121,67,234,93,22,1
3135,995004,4504564,42,26,0,4,0,1
3136,1205142,2680683,9542,320,0,86,42,1
3137,2649183,3210620,138,10,0,3,1,1
3138,2234683,105273,108,25,0,71,1,1
3139,3719788,2374680,708,68,84587,925,9,1
3140,2490891,2369516,654,177,0,19,5,1
3141,3973880,4106737,279,24,0,3,0,1
3142,850727,1729419,4749,85,0,4,2,1
3143,4711492,383033,1999,139,0,16,2,1
3144,4383425,69177,190,5,0,10,0,1
3145,3396944,1658545,262,67,0,7,6,1
3146,2541493,3456175,47,2,0,4,2,1
3147,3113434,4268570,52,17,57,88,1,1
3148,3106574,65223,41,10,0,229,1,1
3149,2065485,1829215,28,24,14576,2084,15,1
3150,2833987,3432241,77,5,0,298,2,1
3151,2469953,1715778,1561,368,0,75,11,1
3152,1583583,2054082,48,41,35429,1446,0,1
3153,3593330,2476152,5,1,167,220,0,1
3154,3031576,4307990,245,37,690,2605,17,1
3155,3313674,2096782,1721,240,514,158,46,1
3156,2259656,3823721,191,179,0,13,0,1
3157,4746441,316221,4,9,0,235,0,1
3158,4301661,1583459,11880,1000,0,82,55,1
3159,3996593,1411587,201,32,0,1,0,1
3160,4414454,3049787,469,128,127,1345,40,1
3161,3446602,3317820,2659,292,0,75,15,1
3162,615701,3909930,371,3,1876,267,6,1
3163,1415082,1988907,15,2,475,14,0,1
3164,3195958,3748986,292,107,0,57,0,1
3165,4043678,2516711,133,70,0,15,1,1
3166,3679922,2149952,518,37,0,43,0,1
3167,2290849,3444086,23,3,0,2,0,1
3168,2279070,3897043,15185,554,0,106,26,1
3169,3979980,1611093,1329,56,0,1,0,1
3170,2679783,1524032,10,5,0,2,0,1
3171,1395708,580580,1605,238,0,26,0,1
3172,161130,3235832,478,56,0,47,0,1
3173,1198203,2521008,213,75,0,131,1,1
3174,3528363,,0,185,0,0,0,0
3175,2847174,1313684,405,10,0,129,3,1
3176,2376874,4232790,1012,109,133,165,50,1
3177,3874687,3049787,125,13,127,1345,4,1
3178,3361859,595973,47,17,214,1141,8,1
3179,3961528,2468942,1959,358,0,55,22,1
3180,3995419,3233564,157,9,0,6,2,1
3181,227992,3238800,289,63,2856,282,14,1
3182,839880,185712,95,1,0,1,0,1
3183,2234683,2518739,108,25,0,190,9,1
3184,1448968,3930838,223,33,0,20,5,1
3185,3695845,1140539,117,46,220,657,2,1
3186,4384109,1290978,4607,430,0,14,0,1
3187,2035114,4451730,794,147,0,381,20,1
3188,4672995,3101429,47,9,0,37,0,1
3189,1410729,52703,6,2,0,53,1,1
3190,1832979,4576469,589,788,19,270,2,1
3191,3501464,2187627,5761,202,1174,229,9,1
3192,1347144,3054093,2747,47,0,30,13,1
3193,632196,3580586,171,27,5,424,0,1
3194,228446,4185125,111,17,166,875,15,1
3195,3231946,82947,300,70,0,67,1,1
3196,3564811,41319,4638,384,589,307,26,1
3197,215562,3270139,169,276,420,51,1,1
3198,3703064,3504226,16429,589,0,16,9,1
3199,1277328,3841393,1632,148,0,62,15,1
3200,3001371,1717215,275,68,567,305,14,1
3201,587606,464727,220,42,79,548,6,1
3202,1919245,4764671,875,68,0,18,1,1
3203,4799519,2810095,298,52,60088,2152,25,1
3204,518136,2157860,1649,518,0,54,30,1
3205,2385765,2222674,84,5,0,17,3,1
3206,2456239,3624936,67,3,436,77,1,1
3207,3889514,2169329,105,8,0,2,0,1
3208,1417102,1773034,138,25,40,81,6,1
3209,4086404,3379843,91,14,0,23,1,1
3210,1898323,1871979,6,61,0,9,0,1
3211,2800254,4420219,827,124,0,93,22,1
3212,3668963,74655,326,72,2355,321,23,1
3213,3306839,4287950,35,13,0,38,1,1
3214,1226933,676580,29,9,0,1,0,1
3215,3905355,2635735,88,12,0,6,0,1
3216,2837126,674211,1224,47,0,4,1,1
3217,1750792,100831,271,76,110088,1642,40,1
3218,394347,238583,159,9,0,1,0,1
3219,21276,3858565,449,89,54,2914,32,1
3220,2800207,633302,226,15,343,137,17,1
3221,1712377,2360099,56,17,0,5,3,1
3222,4123259,1892140,220,36,0,56,1,1
3223,4256557,1991964,266,82,30871,1837,21,1
3224,3312048,1044733,59461,1197,0,218,165,1
3225,3800714,4168903,200,12,0,1,0,1
3226,3691854,2918747,1515,185,0,1,0,1
3227,1293004,2792523,251,27,0,45,1,1
3228,1349176,2176291,5,2,0,128,0,1
3229,2804993,1536573,125,19,0,204,1,1
3230,921958,95278,151,19,0,5,1,1
3231,4135522,929792,649,92,0,65,10,1
3232,321937,1803783,487,621,221,452,106,1
3233,2295160,626097,98,15,26,291,5,1
3234,251761,882797,59,16,328,217,7,1
3235,4450406,1812501,323,62,6,1783,5,1
3236,1535914,2394258,870,102,0,35,4,1
3237,3362358,4088881,154,97,0,2,1,1
3238,4777233,2174995,34,38,18,35,17,1
3239,1847355,1098016,317,89,0,63,5,1
3240,139377,444638,236,12,0,21,8,1
3241,3160256,4308643,39,44,0,102,0,1
3242,1089069,1320171,33,14,82,33,7,1
3243,2012811,375134,228,44,1558,1316,37,1
3244,1640085,1099509,175,57,0,16,7,1
3245,2872101,1223264,321,75,615,74,19,1
3246,1404541,3753065,29,7,10233,649,2,1
3247,2309722,3582837,623,32,0,28,1,1
3248,554251,4538137,416,156,0,70,8,1
3249,1535914,3920535,870,102,0,146,12,1
3250,4311972,1155725,997,45,0,1,0,1
3251,4398797,4097764,80,47,0,7,0,1
3252,2540244,1010307,426,378,152,34,6,1
3253,1697989,102156,19,33,0,22,1,1
3254,4356094,1262086,54,5,0,10,7,1
3255,4257951,58056,1,3,229,468,0,1
3256,842826,438324,243,64,179,44,9,1
3257,4268614,4807063,371,33,0,2,0,1
3258,1737021,4248002,107,21,0,1,0,1
3259,425247,2551496,323,169,0,3,0,1
3260,2190916,1826815,564,73,2469,112,18,1
3261,1090682,505822,259,17,0,43,11,1
3262,43176,1105497,702,59,0,113,8,1
3263,1468643,30175,297,49,0,28,4,1
3264,1117090,2422988,2,13,190,24,1,1
3265,2164543,1251425,45,39,0,52,0,1
3266,3664417,4477009,140,21,0,89,6,1
3267,2126828,1505413,111,27,0,5,3,1
3268,3889514,4656393,105,8,0,7,2,1
3269,3398968,2516543,17,21,0,8,0,1
3270,3116851,3579844,274,51,0,29,8,1
3271,4112513,4718941,188,23,0,15,0,1
3272,434303,3280325,408,28,313,259,38,1
3273,4334092,1441414,16,3,114,59,5,1
3274,376372,447833,3448,103,0,8,5,1
3275,4288863,4793963,13,9,0,28,0,1
3276,4331067,2979358,197,95,0,5,3,1
3277,3854204,2958092,41,6,14444,578,2,1
3278,2905884,3165261,65,4,0,1,0,1
3279,1291777,4287518,1825,932,0,26,9,1
3280,255646,1009129,3286,107,0,353,22,1
3281,4092281,620868,395,35,0,5,0,1
3282,3457767,4216911,1,1,0,2,0,1
3283,4563919,1854505,77,11,0,4,0,1
3284,2437049,4274308,417,188,0,2,1,1
3285,2473008,1549424,2344,284,0,196,42,1
3286,3164823,,0,1,0,0,0,0
3287,2358611,1749714,661,32,0,70,10,1
3288,4119085,2671658,974,268,0,38,11,1
3289,2234341,1055191,254,158,0,2,0,1
3290,4210445,2884618,15,14,0,10,5,1
3291,4140537,1066924,153,24,0,223,0,1
3292,237293,2011973,431,51,0,1,0,1
3293,3867060,425032,192,60,281,87,18,1
3294,3707275,1890357,15,3,0,46,0,1
3295,2876576,910010,84,5,80,216,3,1
3296,1854447,2111255,4,1,0,6,0,1
3297,4115972,1980161,207,136,0,14,3,1
3298,4085056,175426,138,568,0,109,0,1
3299,2782588,2117296,81,12,89,462,0,1
3300,2406553,3293609,51,47,0,40,7,1
3301,3993722,1740811,136,34,0,2,0,1
3302,4564927,1460138,52,8,0,4,0,1
3303,3584120,4512905,576,92,105794,3193,72,1
3304,544474,1456053,28,57,0,152,0,1
3305,1254125,3852222,113,2,0,1,0,1
3306,1384708,4115407,140,48,222,17,3,1
3307,4847083,786571,33,18,14,23,4,1
3308,2805489,2169573,701,142,0,106,11,1
3309,2786842,2798223,83,6,0,9,0,1
3310,3444677,4029837,812,16,0,56,2,1
3311,1153747,1879857,6014,554,0,354,138,1
3312,2114780,255226,46,13,0,7,0,1
3313,1679061,2612236,31,19,0,11,0,1
3314,3145423,1613045,156,39,198,52,7,1
3315,2091661,1945875,1542,224,0,221,60,1
3316,4595933,2231578,86,36,0,2,0,1
3317,2634231,1509498,213,1349,125,433,21,1
3318,2536165,886136,892,95,0,5,1,1
3319,3074218,3006787,87,103,0,166,10,1
3320,1719909,1488791,25,4,0,65,3,1
3321,3251885,917608,199,18,52,418,6,1
3322,3721962,1899877,139,22,0,1,0,1
3323,2558901,212613,102,13,0,1,0,1
3324,2528377,3149501,130,67,71,10,2,1
3325,4450018,532192,42,5,0,11,0,1
3326,179419,1146793,7441,213,0,99,86,1
3327,3847628,4468049,389,757,332,97,43,1
3328,884412,4693506,4079,100,0,150,81,1
3329,1594128,4147037,1186,34,0,61,0,1
3330,3897957,4271367,534,165,0,66,1,1
3331,4729783,674138,9,17,0,35,0,1
3332,2114258,1890151,77,37,0,993,7,1
3333,1133782,788105,1921,187,0,8,2,1
3334,3408999,2204803,165,82,2366,229,30,1
3335,4468526,1396493,349,93,0,111,12,1
3336,1360659,2911198,41,85,0,4,0,1
3337,2852728,946457,280,48,0,1,0,1
3338,2663078,2961719,149,60,0,2,1,1
3339,489066,3413597,11,1,314,246,0,1
3340,4233502,4152214,60,8,0,4,1,1
3341,2763649,1313537,13,1,200,412,1,1
3342,2536224,329296,795,76,2673,167,47,1
3343,3074706,3158761,101,54,0,27,2,1
3344,3089855,1120252,120,5,0,5,0,1
3345,627043,2943155,223,32,0,117,5,1
3346,1465581,1906715,35,66,160,128,12,1
3347,1183627,993456,241,24,319,555,8,1
3348,3941136,49007,1,32,297,895,0,1
3349,3176272,3287617,584,507,765,54,2,1
3350,3669861,1335172,87,8,0,1,0,1
3351,4237364,1135062,46,4,0,73,0,1
3352,360562,181679,71,2,0,39,1,1
3353,1865794,291121,53,15,0,37,0,1
3354,1747994,4447602,66,28,0,243,1,1
3355,3400167,1792189,268,66,861,260,39,1
3356,2199812,1894780,200,37,0,25,3,1
3357,3073764,3352682,1324,68,0,47,1,1
3358,4822188,3291935,576,183,0,2,0,1
3359,2245011,2690641,4714,338,0,6,4,1
3360,4694307,299762,70,19,731,94,5,1
3361,3305225,2244226,366,57,0,26,1,1
3362,2240557,2800909,89,18,0,879,6,1
3363,2405990,354211,57,903,111,437,26,1
3364,423371,4261154,504,228,0,199,7,1
3365,3292721,989867,1031,75,0,582,30,1
3366,2077706,2855688,113,14,0,42,0,1
3367,992582,1192279,166,82,0,1,0,1
3368,2588155,1665736,210,31,116,76,4,1
3369,709189,2598506,29,4,68,566,2,1
3370,1700758,1494153,55,64,0,202,0,1
3371,339493,3277224,12563,340,0,123,53,1
3372,2250169,3008544,269,38,50,245,7,1
3373,3237422,727241,267,90,0,83,25,1
3374,1561735,1163564,93,18,0,60,1,1
3375,575201,1075502,3,1,0,1,0,1
3376,2892792,435347,560,139,0,5,0,1
3377,1051786,4805934,369,8,0,1,0,1
3378,3586556,4815481,14,15,27,23,5,1
3379,2334400,4176753,39,8,0,76,0,1
3380,434700,,0,48,0,0,0,0
3381,4415761,1293096,43,22,0,1381,2,1
3382,4553601,553982,7,4,0,11,0,1
3383,2204059,2682435,472,59,0,121,6,1
3384,4708657,4854453,109,21,0,13,2,1
3385,1959626,4239022,76,5,41,860,1,1
3386,2601415,835596,2615,378,0,36,13,1
3387,3554302,4504014,360,99,0,43,7,1
3388,2378610,2746502,159,22,23,156,2,1
3389,2320096,3170664,1950,207,0,10,0,1
3390,2679783,2875007,10,5,0,46,0,1
3391,2936861,4163584,446,45,0,76,6,1
3392,1028043,880994,336,34,1017,211,9,1
3393,889300,4188593,92,53,0,170,7,1
3394,430628,1390009,329,37,0,9,2,1
3395,3876287,2476949,216,25,0,13,6,1
3396,2018479,4633374,64,321,0,35,5,1
3397,4218798,3931056,33,26,0,102,6,1
3398,4016203,1386819,50,3,0,1,0,1
3399,2403771,2221298,17,13,0,3,1,1
3400,552788,1291767,73,7,0,4,0,1
3401,813753,2576620,269,8,0,5,1,1
3402,1478648,2980575,724,88,0,153,37,1
3403,1021727,2922597,1105,54,0,9,4,1
3404,1529659,4505253,135,33,0,8,6,1
3405,4296753,3503357,1073,267,0,49,6,1
3406,1987054,2261013,29,6,0,14,2,1
3407,1267036,2205138,24,22,59,46,9,1
3408,1845671,449307,654,73,702,183,14,1
3409,2265440,138775,25447,582,0,204,52,1
3410,2855216,,0,2,0,0,0,0
3411,2781418,1883082,1,4,0,1,0,1
3412,3250540,4049828,196,774,521,131,36,1
3413,2760798,4152298,23,4,0,43,0,1
3414,4551495,4129554,476,105,0,1,0,1
3415,4686763,3079702,151,12,0,4,1,1
3416,1505684,1745459,164,77,0,328,6,1
3417,4253646,1324893,270,9,0,14,0,1
3418,3851554,2117356,11,10,30,18,1,1
3419,2535369,3544828,62,11,0,85,2,1
3420,2536165,1868348,892,95,0,656,38,1
3421,2715862,4342336,66,13,0,1,0,1
3422,4753226,3379035,6,14,0,3,0,1
3423,1681654,2495161,125,8,0,107,4,1
3424,1674845,3569133,44,15,0,24,1,1
3425,3451999,2190443,128,8,0,64,2,1
3426,542335,1220726,223,267,0,77,12,1
3427,3631476,2362477,54,21,0,2,1,1
3428,1533092,2927507,54,4,0,7,0,1
3429,1583081,2129937,26,7,0,5,0,1
3430,3286015,3145186,442,28,19,18,2,1
3431,2625767,3657558,54,49,219,30,3,1
3432,4423258,2600195,3,1,113,88,2,1
3433,3071049,4110049,51,2,0,1,0,1
3434,977949,2865903,8,4,0,33,0,1
3435,2779033,763689,1524,382,180,94,45,1
3436,1623257,,0,1,0,0,0,0
3437,4775358,1620634,95,5,0,5,0,1
3438,274189,2063904,86,10,0,1,0,1
3439,1172586,2212496,6,1,38,132,0,1
3440,1280997,977855,138,20,5587,1172,15,1
3441,2653292,3372401,34,75,0,20,0,1
3442,195879,180118,117,107,0,41,2,1
3443,802513,1610217,1119,132,0,71,10,1
3444,2807044,1061922,296,129,596,216,24,1
3445,2239940,2655193,5,64,0,12,0,1
3446,3592912,279069,216,49,29554,1256,12,1
3447,3984581,266601,139,19,0,24,6,1
3448,3593698,4482035,34,4,135,33,0,1
3449,19230,3420237,33,13,19,8,6,1
3450,2257459,3706498,102,31,0,44,2,1
3451,2757240,3221066,122,98,0,20,5,1
3452,2973734,3068371,29,7,0,1,0,1
3453,1222778,1598843,635,202,0,123,20,1
3454,383706,4119989,80,20,0,34,2,1
3455,2497226,2846876,42,6,0,7,4,1
3456,1200983,3991365,109,3,0,109,0,1
3457,1063844,111865,21,1,0,9,0,1
3458,1940166,2135155,90,76,0,491,1,1
3459,4268614,4638323,371,33,0,61,7,1
3460,181504,1545557,2517,320,0,18,8,1
3461,1793769,939575,253,9,0,54,2,1
3462,1190835,2405990,62,47,57,903,28,1
3463,1289135,3215921,377,88,0,628,6,1
3464,1409787,3493886,310,35,0,2,1,1
3465,4477540,38662,36,2,0,2,0,1
3466,3995511,2145583,302,74,0,16,3,1
3467,3370864,119981,71,19,0,22,3,1
3468,3576051,584230,737,69,0,130,5,1
3469,4048325,2294017,163,7,0,110,1,1
3470,1524558,4714055,156,48,54,14,10,1
3471,4045915,3688970,9,2,0,8,0,1
3472,2388308,1441846,7,2,0,30,1,1
3473,2187487,3317210,258,33,0,38,0,1
3474,4109056,2151095,11,31,0,2,0,1
3475,2571358,4100877,153,7,0,28,0,1
3476,260708,4402602,870,119,0,2,0,1
3477,1485746,,0,24,0,0,0,0
3478,3279787,3533168,141,37,18,3654,10,1
3479,2328014,3213748,143,45,0,357,22,1
3480,3520926,2876188,29,9,83,56,16,1
3481,4744199,1000879,203,40,2455,613,39,1
3482,3224706,370492,165,170,0,44,2,1
3483,2861544,2041309,348,63,0,8,0,1
3484,3296967,1690719,161,10,0,258,1,1
3485,4658714,4825641,657,111,0,1,0,1
3486,3764802,4000495,566,32,0,4,0,1
3487,1811235,,0,1,0,0,0,0
3488,2170129,4250287,251,40,0,4,0,1
3489,2623028,758105,39,27,0,206,3,1
